Pos.,No.,Name,RName,Team,Ht.m,Wt.kg,BMI,KPmin,Avg..Speed,z.BMI,z.Speed
G,7,Jaylen Brown,J. Brown,BOS,1.98,100,25.51,2310,4.29,0.61,0.22
G,7,Jaylen Brown,J. Brown,All,1.98,100,25.51,2310,4.29,0.61,0.22
F,20,Gordon Hayward,G. Hayward,BOS,2.03,102,24.75,1860,4.42,0.12,0.88
F,20,Gordon Hayward,G. Hayward,All,2.03,102,24.75,1860,4.42,0.12,0.88
C,11,Enes Kanter,E. Kanter,BOS,2.08,113,26.12,1848,4.08,1,-0.85
C,11,Enes Kanter,E. Kanter,All,2.08,113,26.12,1848,4.08,1,-0.85
F,37,Semi Ojeleye,S. Ojeleye,BOS,1.98,109,27.8,624,4.38,2.08,0.68
F,37,Semi Ojeleye,S. Ojeleye,All,1.98,109,27.8,624,4.38,2.08,0.68
G,36,Marcus Smart,M. Smart,BOS,1.91,100,27.41,2280,4.09,1.83,-0.8
G,36,Marcus Smart,M. Smart,All,1.91,100,27.41,2280,4.09,1.83,-0.8
F,0,Jayson Tatum,J. Tatum,BOS,2.03,95,23.05,2496,4.13,-0.97,-0.6
F,0,Jayson Tatum,J. Tatum,All,2.03,95,23.05,2496,4.13,-0.97,-0.6
F,27,Daniel Theis,D. Theis,BOS,2.03,110,26.69,1155,4.19,1.37,-0.29
F,27,Daniel Theis,D. Theis,All,2.03,110,26.69,1155,4.19,1.37,-0.29
G,8,Kemba Walker,K. Walker,BOS,1.83,83,24.78,2652,4.13,0.14,-0.6
G,8,Kemba Walker,K. Walker,All,1.83,83,24.78,2652,4.13,0.14,-0.6
G,9,Brad Wanamaker,B. Wanamaker,BOS,1.91,95,26.04,780,4.27,0.95,0.12
G,9,Brad Wanamaker,B. Wanamaker,All,1.91,95,26.04,780,4.27,0.95,0.12
F/C,44,Robert Williams III,R. Williams III,BOS,2.03,116,28.15,936,4.11,2.31,-0.7
F/C,44,Robert Williams III,R. Williams III,All,2.03,116,28.15,936,4.11,2.31,-0.7
C,31,Jarrett Allen,J. Allen,BRK,2.11,110,24.71,1872,4.23,0.09,-0.09
C,31,Jarrett Allen,J. Allen,All,2.11,110,24.71,1872,4.23,0.09,-0.09
F,21,Wilson Chandler,W. Chandler,BRK,2.03,107,25.97,1110,4.21,0.9,-0.19
F,21,Wilson Chandler,W. Chandler,All,2.03,107,25.97,1110,4.21,0.9,-0.19
G,8,Spencer Dinwiddie,S. Dinwiddie,BRK,1.96,98,25.51,2184,4.06,0.61,-0.96
G,8,Spencer Dinwiddie,S. Dinwiddie,All,1.96,98,25.51,2184,4.06,0.61,-0.96
G/F,12,Joe Harris,J. Harris,BRK,1.98,100,25.51,2280,4.55,0.61,1.55
G/F,12,Joe Harris,J. Harris,All,1.98,100,25.51,2280,4.55,0.61,1.55
G,11,Kyrie Irving,K. Irving,BRK,1.88,88,24.9,2475,4.11,0.22,-0.7
G,11,Kyrie Irving,K. Irving,All,1.88,88,24.9,2475,4.11,0.22,-0.7
C,6,DeAndre Jordan,D. Jordan,BRK,2.11,120,26.95,1872,3.73,1.54,-2.64
C,6,DeAndre Jordan,D. Jordan,All,2.11,120,26.95,1872,3.73,1.54,-2.64
F,0,Rodions Kurucs,R. Kurucs,BRK,2.06,103,24.27,1404,4.65,-0.19,2.06
F,0,Rodions Kurucs,R. Kurucs,All,2.06,103,24.27,1404,4.65,-0.19,2.06
G,22,Caris LeVert,C. LeVert,BRK,1.98,93,23.72,1932,4.23,-0.54,-0.09
G,22,Caris LeVert,C. LeVert,All,1.98,93,23.72,1932,4.23,-0.54,-0.09
G/F,13,Dzanan Musa,D. Musa,BRK,2.06,98,23.09,385,4.23,-0.94,-0.09
G/F,13,Dzanan Musa,D. Musa,All,2.06,98,23.09,385,4.23,-0.94,-0.09
G,0,David Nwaba,D. Nwaba,BRK,1.96,99,25.77,228,4.28,0.78,0.17
G,0,David Nwaba,D. Nwaba,All,1.96,99,25.77,228,4.28,0.78,0.17
