"","Player","FGA","2PFG%","3PFG%","PTS","TRB","SB","AST/TOV","ORtg"
"8","Brandon Clarke",9.8,0.71,0.25,16.5,8.4,4.2,1.29,140.1
"32","Jaxson Hayes",5.4,0.74,NA,10.3,5.1,2.9,0.33,139.9
"68","Zion Williamson",12.3,0.75,0.28,21.6,8.8,4,0.96,134
"25","Grant Williams",11.1,0.6,0.31,19.3,7.7,2.7,1.5,131.6
"53","PJ Washington",10.2,0.54,0.43,14.9,7.5,1.9,1,121.1
"7","Bennie Boatwright",13.4,0.52,0.43,18.3,6.6,1.3,1.6,120.3
"20","Dean Wade",9.9,0.52,0.41,12.9,6.1,1.3,2,118.6
"21","Dedric Lawson",13.7,0.52,0.38,19.1,10.6,2.3,0.78,117.4
"19","Daniel Gafford",10.2,0.66,NA,17,8.7,2.9,0.29,116.5
"29","Jalen Smith",8.9,0.54,0.29,11.5,6.7,1.6,0.69,116
"4","Aric Holman",7.2,0.51,0.39,9.4,6.2,2.5,0.87,115.5
"56","Rayshaun Hammonds",8.6,0.54,0.36,12.1,6.1,1.3,0.67,109.2
"51","Nicolas Claxton",9.3,0.51,0.3,13,8.6,3.6,0.86,108.1
"69","Zylan Cheatham",7.8,0.54,0.37,11.6,10.4,1.6,1.06,105.2
"28","Jalen McDaniels",13.4,0.5,0.32,16,8.1,1.5,0.88,104.4
