"","Player","FGA","X2PFG.","X3PFG.","PTS","ASB","AST.TOV","ORtg"
"1","Cameron Johnson",11.6,0.55,0.47,16.9,3.9,1.6,131
"2","Rui Hachimura",12.6,0.6,0.4,19.7,3.1,0.83,125.1
"3","Chuma Okeke",8.9,0.58,0.38,12,4.9,1.12,121.2
"4","Ignas Brazdeikis",11,0.51,0.38,14.8,2,0.67,113.1
"5","Robert Franks",15.1,0.58,0.4,21.6,4,0.81,113.1
"6","Tyler Bey",9.4,0.57,0.17,13.6,2.6,0.3,113.1
"7","Eric Paschall",12.1,0.54,0.34,16.5,3.3,0.91,112.5
"8","Admiral Schofield",13.6,0.5,0.42,16.5,3.4,1.05,110.6
"9","Nassir Little",7.6,0.54,0.29,9.8,1.6,0.46,110.2
"10","Kris Wilkes",14.2,0.51,0.34,17.3,2.7,0.89,107.8
"11","Jordan Nwora",13.1,0.51,0.38,17,2.6,0.54,107.6
"12","Zylan Cheatham",7.9,0.55,0.43,12.1,4.8,1.07,106.8
"13","Isaiah Roby",9.3,0.49,0.33,11.8,5.1,0.95,105.6
"14","Louis King",11,0.48,0.39,13.5,2.4,0.62,105.3
"15","Jaylen Hoard",10.7,0.5,0.24,13.1,2.7,0.6,102.3
"16","Lamar Stevens",17,0.46,0.21,19.9,3.6,0.75,101.7
"17","Oshae Brissett",11,0.44,0.27,12.4,3.6,0.9,99.8
