"","Player","FGA","2PFG%","3PFG%","PTS","STL","RSB","AST/TOV","ORtg"
"62","Terance Mann",7.8,0.53,0.43,11.5,0.7,7.4,1.39,122.9
"66","Tyler Herro",10.7,0.54,0.37,14.2,1.1,5.9,1.44,121.1
"37","Keldon Johnson",9.9,0.51,0.41,13.7,0.7,6.6,1,117.3
"10","Caleb Martin",14.3,0.56,0.35,19.6,1.4,7.3,1.61,117.1
"50","Nickeil Alexander-Walker",11.8,0.54,0.38,16.5,1.9,6.5,1.43,114.2
"31","Jarrett Culver",13.5,0.56,0.35,18.3,1.2,7.8,1.33,113
"1","Aaron Wiggins",7.5,0.37,0.4,8.4,0.7,4.3,0.89,112.6
"67","Tyus Battle",13.6,0.48,0.32,17.2,1.2,4.8,1.47,111.4
"58","Romeo Langford",12.4,0.53,0.28,16.7,0.8,7,1.1,109.9
"46","Matisse Thybulle",7.4,0.56,0.33,9.5,3.5,8.8,1.22,109.4
"30","James Palmer",15.7,0.4,0.31,19.6,1.4,6,1.43,107
"3","Alpha Diallo",12.4,0.45,0.34,16.2,1.5,10.2,1.15,106.9
"61","Talen Horton-Tucker",11.1,0.48,0.31,12.2,1.3,6.9,1.47,101.8
"43","Luguentz Dort",12.7,0.48,0.31,16.2,1.6,6.1,0.8,101.7
"14","Charles Matthews",10.8,0.49,0.33,12.8,1.1,6.6,0.82,101.2
"55","Quinton Rose",15.2,0.47,0.28,16.5,2.1,6,0.96,93.6
"54","Quentin Grimes",7.2,0.45,0.37,7.8,0.5,3,1,92.8
