"","Player","School","G","BPM","rawVORP","normVORP","Salary"
"1","Nick Rene","Air Force",30,-20.3,-0.15,0.32,95090.27
"2","Caleb Morris","Air Force",30,-0.2,0.94,0.37,110394.78
"3","Ryan Swan-Ford","Air Force",30,4.8,4.48,0.54,159988.58
"4","LeSean Brown","Air Force",30,-3.5,-0.12,0.32,95475.34
"5","Abe Kinrade","Air Force",30,-3.3,-0.07,0.32,96269.97
"6","Charles O'Briant","Air Force",30,-24.9,-0.23,0.32,94019.1
"7","Zach Couper","Air Force",30,-12.1,-0.13,0.32,95457.83
"8","Keaton Van Soelen","Air Force",30,-0.2,1,0.37,111171.91
"9","Sid Tomes","Air Force",30,-3,-0.59,0.3,88952.6
"10","A.J. Walker","Air Force",30,-2.3,-0.2,0.32,94484.67
"11","Isaac Monson","Air Force",30,-14.1,-0.17,0.32,94825.4
"12","Ameka Akaya","Air Force",30,-4,-0.49,0.3,90387.83
"13","James Edwards","Air Force",30,-22.2,-0.17,0.32,94868.57
"14","Bryce Hughes","Air Force",30,-1,0.02,0.33,97435.66
"15","Lavelle Scottie","Air Force",30,-2.6,-0.47,0.3,90588.53
"16","Pervis Louder","Air Force",30,-2.6,-0.21,0.32,94313.15
"17","Christopher Joyce","Air Force",30,-2.2,-0.1,0.32,95771.72
"18","Loren Jackson","Akron",32,1.9,3.07,0.47,140187.51
"19","LePear Toles","Akron",32,-0.8,0.03,0.33,97580.06
"20","Emmanuel Olojakpoke","Akron",32,1.5,0.86,0.37,109247.91
"21","Jeremy Roscoe","Akron",32,-0.3,0.43,0.35,103306.78
"22","Scott Walter","Akron",32,-7,-0.23,0.32,93998.53
"23","Mark Kostelac","Akron",32,3.6,0.17,0.33,99614.76
"24","Jaden Sayles","Akron",32,-4.5,-0.51,0.3,90087.73
"25","Marquelle McIntyre","Akron",32,3,0.03,0.33,97608.5
"26","Deng Riak","Akron",32,-0.7,0.7,0.36,107080.83
"27","Tyler Cheese","Akron",32,2,2.83,0.46,136913.38
"28","Daniel Utomi","Akron",32,2.6,3.86,0.51,151320.43
"29","Jimond Ivey","Akron",32,7,7.33,0.67,199912.78
"30","Jake Fischer","Akron",32,-14.5,-0.05,0.32,96541.92
"31","Channel Banks","Akron",32,2.1,2.12,0.43,126872.2
"32","Avery Johnson","Alabama",31,-2.3,-0.07,0.32,96253.37
"33","Tyler Barnes","Alabama",31,-16.3,-0.03,0.33,96741.19
"34","Riley Norris","Alabama",31,5.2,2.66,0.45,134462.7
"35","John Petty","Alabama",31,4.2,4.5,0.54,160165.95
"36","Alex Reese","Alabama",31,3.8,1.52,0.4,118445.88
"37","Donta Hall","Alabama",31,8.4,6.89,0.65,193642.73
"38","Tevin Mack","Alabama",31,1.8,1.96,0.42,124688.19
"39","Lawson Schaffer","Alabama",31,-18.3,-0.18,0.32,94648.75
"40","Daniel Giddens","Alabama",31,-2.3,-0.03,0.33,96836.04
