"","Team.x","Season.x","AST","TO","ORR","DRR","REBR","EFF FG%","TS%","OFF EFF","DEF EFF","Off_Deff_Diff","countWinsPlayoffs","countLossesPlayoffs","descriptionNBAFinalsAppearance","OFFRTG","DEFRTG","NETRTG","pbp_o_rating","pbp_d_rating","pbp_NRtg","ORtg","DRtg","NRtg","ORtg/A","DRtg/A","NRtg/A","TeamNickname","PlayoffGames","PlayoffWinPercentage","Round"
"23","Boston Celtics","2007-08",15.8,25.6,26.6,74.4,51.9,52.2,56.9,92.6,82.2,10.4,16,10,"NBA Champion",108.8,98.1,10.8,110,102.6,7.4,111.1,99.75,11.35,110.55,100.23,10.32,"Celtics",26,0.615384615384615,NA
"97","Cleveland Cavaliers","2015-16",17.5,12.7,25.1,78.5,52,52.4,55.8,108.1,102.3,5.8,16,5,"NBA Champion",110.2,103.9,6.3,111.2,104.9,6.3,111.8,105.32,6.48,111.75,105.85,5.9,"Cavaliers",21,0.761904761904762,NA
"109","Dallas Mavericks","2010-11",17,23.9,24.1,74.8,50.4,52.5,56.5,107.6,102.3,5.3,16,5,"NBA Champion",108.4,104.1,4.4,109.8,103.4,6.4,110.24,105.76,4.49,110.08,105.4,4.68,"Mavericks",21,0.761904761904762,NA
"136","Detroit Pistons","2003-04",14.9,25.6,30.1,71.8,51.3,46.1,51.1,85,78.7,6.3,16,7,"NBA Champion",100.3,93.8,6.5,101.6,110.2,-8.5,103.18,96.48,6.7,102.81,97.01,5.81,"Pistons",23,0.695652173913043,NA
"164","Golden State Warriors","2014-15",19.9,13.1,24.1,74.5,50.1,54,57.1,109.7,98.2,11.5,16,5,"NBA Champion",110.4,100.4,10,111.7,106.2,5.5,112.18,101.86,10.32,111.9,101.67,10.23,"Warriors",21,0.761904761904762,NA
"166","Golden State Warriors","2016-17",21.4,13.2,22.8,74.9,50.5,56.3,59.7,113.2,101.1,12.1,16,1,"NBA Champion",114.8,103.4,11.3,115.9,104.5,11.4,116.26,104.57,11.69,116.02,104.61,11.41,"Warriors",17,0.941176470588235,NA
"167","Golden State Warriors","2017-18",21.1,14.1,21,76.3,50.6,56.9,60.3,112.3,104.2,8.09999999999999,16,5,"NBA Champion",112.7,106.8,5.9,114.4,107.9,6.5,114.31,108.43,5.88,114.33,108.62,5.7,"Warriors",21,0.761904761904762,NA
"226","Los Angeles Lakers","2008-09",15.9,21.8,29.4,73,51.5,51.3,55.5,109.8,101.9,7.89999999999999,16,7,"NBA Champion",111.4,103.5,7.9,112.5,105.5,7,113.43,105.29,8.14,113,105.45,7.55,"Lakers",23,0.695652173913043,NA
"227","Los Angeles Lakers","2009-10",14.8,22.1,27.7,74.4,51.2,49.6,53.8,105.9,101.1,4.80000000000001,16,7,"NBA Champion",107.6,102.7,4.9,108.9,103.9,5,109.51,104.57,4.93,109.32,104.32,5,"Lakers",23,0.695652173913043,NA
"257","Miami Heat","2005-06",14.8,24.3,26.7,76.4,52.6,51.7,55.6,92.2,89.4,2.8,16,7,"NBA Champion",107.5,103.4,4.1,108.7,100.3,8.4,109.53,105.34,4.19,109.28,105.38,3.9,"Heat",23,0.695652173913043,NA
"263","Miami Heat","2011-12",14.3,25.3,26.6,73.9,51.1,50.5,54.9,104.3,97.1,7.2,16,7,"NBA Champion",105.6,99.2,6.4,106.7,102.1,4.6,107.66,101.1,6.56,107.97,101.71,6.26,"Heat",23,0.695652173913043,NA
"264","Miami Heat","2012-13",18.5,13.7,22.2,73,49,55.2,58.8,110.3,100.5,9.8,16,7,"NBA Champion",111.4,103.2,8.2,112.8,101.2,11.6,113.43,104.77,8.67,113.28,105.53,7.75,"Heat",23,0.695652173913043,NA
"441","San Antonio Spurs","2002-03",14.2,26.3,28.8,71.3,51.1,49.7,54.1,88.1,83.3,4.8,16,8,"NBA Champion",103.9,98.1,5.8,104.9,102.5,2.4,106.25,100.29,5.96,106.2,99.99,6.22,"Spurs",24,0.666666666666667,NA
"443","San Antonio Spurs","2004-05",15.5,23.4,29.1,73.6,51.3,49.2,53.4,91.2,82.3,8.90000000000001,16,7,"NBA Champion",106,97.8,8.2,107.3,101.5,5.8,108.45,99.59,8.85,108.18,99.31,8.87,"Spurs",23,0.695652173913043,NA
"445","San Antonio Spurs","2006-07",16.1,24,24.2,75.7,51,52.1,56.1,92.7,84.4,8.3,16,4,"NBA Champion",108.6,99.4,9.2,109.4,105.5,3.9,110.11,100.64,9.47,109.84,100.47,9.37,"Spurs",20,0.8,NA
"452","San Antonio Spurs","2013-14",19.1,13.5,22.7,76.4,50.6,53.7,57.1,108.2,100.1,8.10000000000001,16,7,"NBA Champion",109.5,101.4,8.2,110.5,98.7,11.8,111.09,102.93,8.16,110.98,102.53,8.45,"Spurs",23,0.695652173913043,NA
