"Rnk.","Bike brand","Wins","Teams"
1,"Pinarello",93,"Banesto ,  Fassa Bortolo ,  Team Telekom"
2,"Colnago",92,"Mapei - Quickstep ,  Rabobank ProTeam ,  Tönissteiner - Colnago"
3,"Look",45,"BigMat - Auber 93 ,  Crédit Agricole ,  Kelme - Costa Blanca"
4,"Fondriest",36,"Lampre - Daikin ,  Palmans - Ideal"
5,"Giant",31,"O.N.C.E. - Deutsche Bank ,  Sport Lisboa e Benfica"
6,"De Rosa",24,"Alessio ,  Vini Caldirola - Sidermec"
7,"Gios",23,"Alexia Allumino ,  Maia - MSS"
8,"Merida",21,"Mróz - Supradyn Witaminy"
9,"Decathlon",20,"AG2R Prevoyance"
10,"Cannondale",18,"Saeco"
11,"Orbea",18,"Euskaltel - Euskadi ,  Ville de Charleroi - New Systems"
12,"Fuji",18,"Manheim-Mercury"
13,"Specialized",17,"Festina - Lotus"
14,"Koga",17,"Farm Frites"
15,"MBK",16,"Cofidis ,  Saint-Quentin - Oktos"
16,"Gitane",16,"La Française des Jeux"
17,"Jad",14,"KRKA - Telekom Slovenije"
18,"Trek",13,"US Postal Service"
19,"Olmo",13,"Vitalicio Seguros - Grupo Generali"
20,"Vitus",13,"MemoryCard - Jack & Jones"
21,"Time",12,"Bonjour - Toupargel"
22,"Masil",12,"Boavista ,  LA - Pecol"
23,"Klein - Quantum",12,"Gerolsteiner"
24,"Moser",12,"Cantina Tollo - Regain"
25,"Cyfac",12,"Jean Delatour"
26,"Principia",11,"LindaMcCartney ,  Team Fakta"
27,"Bianchi",10,"Mercatone Uno - Albacom"
28,"Battaglin",8,"Panaria - Fiordo"
29,"Hercules",6,"Nurnberger"
30,"Rossin",6,"Mobilvetta Design - Rossin"
31,"Fort",6,"Wüstenrot - ZVVZ"
32,"Ridley",5,"Spar - OKI - Daewoo"
33,"Coppi",5,"Polti"
34,"Bicigal",4,"Porta da Ravessa"
35,"Cilo",4,"Post Swiss Team"
36,"SCOTT",3,"Phonak Hearing Systems"
37,"Litespeed",3,"Navigators Cycling Team"
38,"Scapin",3,"MAT - Ceresit - CCC"
39,"Batavus",3,"Bankgiroloterij - Batavus"
40,"Red Bull",3,"Cologne"
41,"LeMond",3,"Saturn"
42,"Sunn",3,"Besson Chaussures"
43,"Wilier",2,"Stabil - Steiermark"
44,"Merckx",2,"Collstrop - De Federale Verzekeringen"
45,"Macario",2,"Colchon Relax - Fuenlabrada"
46,"Flanders",2,"Flanders - Prefetex"
47,"Carrera",1,"Atlas - Lukullus - Ambra"
48,"Musing",1,"Agro - Adler - Brandenburg"
49,"Gion",1,"Team Colpack"
1,"Pinarello",99,"De Nardi - Pasta Montegrappa ,  Fassa Bortolo ,  iBanesto.com ,  Team Telekom"
2,"Colnago",72,"Landbouwkrediet - Colnago ,  Mapei - Quickstep ,  Rabobank ProTeam ,  Team Coast"
3,"Look",50,"BigMat - Auber 93 ,  CSC ProTeam - Tiscali ,  Kelme - Costa Blanca"
4,"De Rosa",46,"Alessio ,  Tacconi Sport - Vini Caldirola"
5,"GT",31,"Lotto - Adecco"
6,"Cannondale",30,"Saeco"
7,"LeMond",29,"Mercury - Viatel ,  Saturn Cycling Team"
8,"Merckx",26,"Domo - Farm Frites ,  Palmans - Collstrop ,  Vlaanderen - T-Interim"
