"text"	"story"
"CHAPTER I"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"IN THE HOME OF MY PARENTS"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"It has turned out fortunate for me to-day that destiny appointed"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"Braunau-on-the-Inn to be my birthplace. For that little town is situated"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"just on the frontier between those two States the reunion of which"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"seems, at least to us of the younger generation, a task to which we"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"should devote our lives and in the pursuit of which every possible means"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"should be employed."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"German-Austria must be restored to the great German Motherland. And not"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"indeed on any grounds of economic calculation whatsoever. No, no. Even"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"if the union were a matter of economic indifference, and even if it were"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"to be disadvantageous from the economic standpoint, still it ought to"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"take place. People of the same blood should be in the same REICH. The"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"German people will have no right to engage in a colonial policy until"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"they shall have brought all their children together in the one State."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"When the territory of the REICH embraces all the Germans and finds"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"itself unable to assure them a livelihood, only then can the moral right"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"arise, from the need of the people to acquire foreign territory. The"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"plough is then the sword; and the tears of war will produce the daily"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"bread for the generations to come."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"And so this little frontier town appeared to me as the symbol of a great"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"task. But in another regard also it points to a lesson that is"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"applicable to our day. Over a hundred years ago this sequestered spot"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"was the scene of a tragic calamity which affected the whole German"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"nation and will be remembered for ever, at least in the annals of German"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"history. At the time of our Fatherland's deepest humiliation a"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"bookseller, Johannes Palm, uncompromising nationalist and enemy of the"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"French, was put to death here because he had the misfortune to have"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"loved Germany well. He obstinately refused to disclose the names of his"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"associates, or rather the principals who were chiefly responsible for"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the affair. Just as it happened with Leo Schlageter. The former, like"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the latter, was denounced to the French by a Government agent. It was a"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"director of police from Augsburg who won an ignoble renown on that"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"occasion and set the example which was to be copied at a later date by"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"the neo-German officials of the REICH under Herr Severing's"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"regime (Note 1)."	"CHAPTER I    IN THE HOME OF MY PARENTS"
"[Note 1. In order to understand the reference here, and similar"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"references in later portions of MEIN KAMPF, the following must be borne"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"in mind:"	"CHAPTER I    IN THE HOME OF MY PARENTS"
"From 1792 to 1814 the French Revolutionary Armies overran Germany. In"	"CHAPTER I    IN THE HOME OF MY PARENTS"
