#,Team,Player,H,W,P,School,C
1,*New York*,Zion Williamson,6-6,280,PF,Duke,Fr.
2,*Phoenix*,Ja Morant,6-3,175,PG,Murray St.,So.
3,**Cleveland*,RJ Barrett,6-6,210,SG,Duke,Fr.
4,*Chicago*,Rui Hachimura,6-8,235,SF/PF,Gonzaga,Jr.
5,*Atlanta*,Cameron Reddish,6-7,215,SG/SF,Duke,Fr.
6,**Memphis*,KZ Okpala,6-8,195,SG/SF,Stanford,So.
7,*Washington*,Bruno Fernando,6-10,245,C,Maryland,So.
8,*Orlando*,Jarrett Culver,6-6,195,SG,Texas Tech,So.
9,*New Orleans*,Nickeil Alexande...,6-5,205,SG,Virginia Tech,So.
10,*Detroit*,Keldon Johnson,6-6,215,SG/SF,Kentucky,Fr.
11,*Minnesota*,Nassir Little,6-6,220,SF,North Carolina,Fr.
12,**Atlanta*,Charles Bassey,6-10,245,C,Western Kentu...,Fr.
13,*LA Lakers*,Romeo Langford,6-6,210,SG,Indiana,Fr.
14,**Boston*,Sekou Doumbouya,6-9,230,SF/PF,France,Intl.
15,*Miami*,Darius Garland,6-2,175,PG,Vanderbilt,Fr.
16,*Charlotte*,DeAndre Hunter,6-7,225,SF/PF,Virginia,So.
17,*Brooklyn*,Daniel Gafford,6-10,230,PF/C,Arkansas,So.
18,**Boston*,Bol Bol,7-2,235,C,Oregon,Fr.
19,*San Antonio*,Jaxson Hayes,6-11,220,PF/C,Texas,Fr.
20,*Utah*,Jalen McDaniels,6-10,195,PF,San Diego St.,So.
21,*Houston*,Jontay Porter,6-11,240,C,Missouri,So.
22,*Portland*,Coby White,6-5,185,PG/SG,North Carolina,Fr.
23,**Philadelphia*,Jalen Smith,6-10,215,PF,Maryland,Fr.
24,*Boston*,Kris Wilkes,6-8,215,SF,UCLA,So.
25,*Oklahoma Cty*,Goga Bitadze,6-11,250,C,Rep. of Georgia,Intl.
26,*Indiana*,Naz Reid,6-10,250,C,LSU,Fr.
27,**Brooklyn*,Tre Jones,6-2,185,PG,Duke,Fr.
28,**San Antonio*,Kevin Porter,6-5,220,SG/SF,USC,Fr.
29,*Golden St.*,Ashton Hagans,6-3,190,PG,Kentucky,Fr.
30,**Milwaukee*,Aric Holman,6-10,225,PF,Mississippi St.,Sr.
#,Team,Player,H,W,P,School,C
31,**Brooklyn*,Ty Jerome,6-5,200,PG,Virginia,Jr.
32,*Phoenix*,Austin Wiley,6-10,260,C,Auburn,Jr.
33,**Orlando*,Chuma Okeke,6-8,235,SF/PF,Auburn,So.
34,**Philadelphia*,Sagaba Konate,6-8,250,PF/C,West Virginia,Jr.
35,**Atlanta*,Jaylen Nowell,6-4,200,PG/SG,Washington,So.
36,*Memphis*,Eric Paschall,6-7,260,SF/PF,Villanova,Sr.
37,**Denver*,Ignas Brazdeikis,6-7,225,SF,Michigan,Fr.
38,**Sacramento*,Oshae Brissett,6-8,210,SF,Syracuse,So.
39,*New Orleans*,Luguentz Dort,6-4,220,SG,Arizona St.,Fr.
40,*Detroit*,Carsen Edwards,6-0,200,PG,Purdue,Jr.
41,**Sacramento*,Markus Howard,5-11,175,PG,Marquette,Jr.
42,**Dallas*,PJ Washington,6-8,235,PF,Kentucky,So.
43,**Atlanta*,Brandon Clarke,6-8,215,PF/C,Gonzaga,Jr.
44,**Philadelphia*,Ky Bowman,6-1,190,PG,Boston College,Jr.
45,**Minnesota*,Robert Franks,6-8,230,SF/PF,Washington St...,Sr.
46,**Atlanta*,Admiral Schofield,6-5,240,SF,Tennessee,Sr.
47,**Orlando*,Tyler Cook,6-8,255,PF,Iowa,Jr.
48,*LA Clippers*,Cameron Johnson,6-8,210,SF,North Carolina,Sr.
49,*San Antonio*,Matisse Thybulle,6-6,200,SG/SF,Washington,Sr.
50,*Utah*,Udoka Azubuike,6-11,280,C,Kansas,Jr.
51,**New York*,James Palmer,6-6,210,SG,Nebraska,Sr.
52,**LA Clippers*,Darius Bazley,6-9,200,PF,USA,N/A
53,*Philadelphia*,Matt Morgan,6-2,180,SG,Cornell,Sr.
54,**Memphis*,Brian Bowen,6-7,200,SF,USA,Intl.
55,**Charlotte*,Kerwin Roach,6-4,180,PG/SG,Texas,Sr.
56,**Indiana*,Charles Matthews,6-6,205,SG,Michigan,Jr.
57,**Charlotte*,Shamorie Ponds,6-1,175,PG,St. Johns,Jr.
58,*Toronto*,Bennie Boatwright,6-10,230,PF,USC,Sr.
59,*Golden St.*,Abdoulaye N'Doye,6-7,200,PG/SG,France,Intl.
60,*Milwaukee*,Dedric Lawson,6-8,235,PF,Kansas,Jr.
