"","Player","FGA","2PFG%","3PFG%","PTS","TRB","SB","AST/TOV","ORtg"
"32","Jaxson Hayes",5.4,0.76,NA,10.4,5.3,3,0.3,140.2
"9","Brandon Clarke",9.9,0.71,0.25,16.5,8.3,4.2,1.21,139.1
"68","Zion Williamson",12.3,0.75,0.28,21.6,8.8,4,0.96,134.5
"25","Grant Williams",11,0.6,0.33,19,7.6,2.5,1.43,130.7
"53","PJ Washington",10.3,0.56,0.46,15.2,7.9,2,1.06,125.3
"8","Bennie Boatwright",13.1,0.52,0.44,18.3,6.3,1.2,1.77,123
"20","Dean Wade",9.6,0.51,0.5,12.9,6.2,1,1.93,120.7
"21","Dedric Lawson",13.9,0.52,0.33,19,10.3,2.2,0.87,116.5
"4","Aric Holman",7.3,0.54,0.41,9.6,6.3,2.7,0.81,116
"29","Jalen Smith",8.7,0.56,0.25,11.3,6.6,1.5,0.77,114.7
"19","Daniel Gafford",9.8,0.66,NA,16.6,8.9,2.9,0.3,114.3
"56","Rayshaun Hammonds",9,0.54,0.38,12.6,6.3,1.3,0.71,110
"51","Nicolas Claxton",9.7,0.49,0.24,12.7,8.9,3.5,1,108.3
"28","Jalen McDaniels",13.8,0.51,0.3,16.9,8.3,1.6,0.88,107.2
"69","Zylan Cheatham",7.8,0.54,0.37,11.7,10.8,1.6,1.13,107.2
