"","Player","FGA","X2PFG.","X3PFG.","PTS","TRB","SB","AST.TOV","ORtg"
"1","Jaxson Hayes",5.3,0.72,NA,10,5,2.8,0.33,138.7
"2","Brandon Clarke",10.1,0.7,0.25,16.9,8.6,4.3,1.27,137.9
"3","Zion Williamson",13.2,0.75,0.32,22.6,8.9,3.9,0.88,133.1
"4","Grant Williams",11.2,0.59,0.33,18.8,7.5,2.6,1.45,128.7
"5","Mfiondu Kabengele",8.8,0.54,0.33,13.2,5.9,2.1,0.23,120.5
"6","PJ Washington",10.4,0.55,0.41,15.2,7.6,2.1,0.9,119.5
"7","Dedric Lawson",14.1,0.51,0.4,19.4,10.3,2.4,0.74,117.4
"8","Aric Holman",7.2,0.51,0.42,9.5,6.2,2.5,0.8,117.3
"9","Jalen Smith",8.9,0.56,0.27,11.7,6.8,1.6,0.75,116.8
"10","Daniel Gafford",10.1,0.66,NA,16.9,8.7,2.9,0.29,116.3
"11","Charles Bassey",8.8,0.65,0.5,14.6,10,3.2,0.24,115.2
"12","Rayshaun Hammonds",8.6,0.54,0.36,12.1,6.1,1.3,0.67,109.2
"13","Nicolas Claxton",9.3,0.51,0.3,13,8.6,3.6,0.86,108.1
"14","Tyler Cook",10.3,0.52,0,14.5,7.6,1.2,0.86,105.8
"15","Jalen McDaniels",13.4,0.49,0.32,15.9,8.3,1.6,0.88,103.9
