"","Player","FGA","X2PFG.","X3PFG.","PTS","AST","STL","RSB","AST.TOV","ORtg"
"1","Tyrese Haliburton",4.8,0.69,0.42,7,3.6,1.5,5.9,4.5,139.7
"2","Kyle Guy",11.2,0.5,0.46,15.6,2.2,0.7,5.1,1.57,126
"3","Chris Clemons",20.6,0.57,0.36,30.1,2.8,1.5,6.9,1.12,120.1
"4","Ty Jerome",10.5,0.47,0.4,13,5.4,1.5,5.6,3.18,119.9
"5","Ja Morant",16.2,0.57,0.33,24.6,10,1.8,8.1,1.92,119.5
"6","Shamorie Ponds",14.3,0.52,0.35,19.5,5.2,2.6,7.1,2.6,119.5
"7","Markus Howard",17.4,0.43,0.41,25,4,1.1,5.1,1,114
"8","Tre Jones",8.8,0.48,0.26,9.3,5.3,2,6,3.53,113.7
"9","Devon Dotson",8.4,0.52,0.38,12.1,3.6,1.3,5,1.57,112.8
"10","Coby White",12.6,0.52,0.36,16.3,4.2,1,4.7,1.5,110.8
"11","Jaylen Nowell",12.2,0.53,0.42,16.2,3.1,1.3,6.9,1.07,110.3
"12","Makai Mason",11.8,0.43,0.37,14.6,3.3,0.4,2.9,1.27,108.6
"13","Carsen Edwards",19.2,0.43,0.33,23,3,1.4,5.2,0.94,107.6
"14","Jaylen Hands",11.6,0.45,0.37,14.2,6.1,1.3,5.2,1.91,107.1
"15","Ashton Hagans",5.8,0.51,0.31,7.7,4.4,1.7,4.2,1.83,106.5
"16","Ky Bowman",15.6,0.43,0.37,19,4,1.4,9.5,1.38,105.6
"17","Ayo Dosunmu",11.7,0.48,0.36,13.8,3.3,1.3,5.6,1.43,104.5
