"","Player","FGA","2PFG%","3PFG%","PTS","ASB","AST/TOV","ORtg"
"12","Cameron Johnson",11.1,0.56,0.47,16.7,3.8,1.53,131.7
"59","Rui Hachimura",12.7,0.62,0.44,20.5,3.5,0.94,128.9
"16","Chuma Okeke",8.5,0.59,0.35,11.3,4.8,1.18,121.3
"57","Robert Franks",15.3,0.6,0.4,22.4,4,0.83,116.4
"23","Eric Paschall",12.1,0.53,0.37,17.3,3.5,0.91,116.2
"44","Markis McDuffie",14.3,0.47,0.37,18.2,1.9,0.47,113.3
"48","Nassir Little",7.1,0.54,0.29,9.7,2.1,0.69,113.3
"26","Ignas Brazdeikis",10.8,0.49,0.38,14.4,2.2,0.69,113
"65","Tyler Bey",8.8,0.57,0.25,12.5,2.6,0.26,111.8
"2","Admiral Schofield",14,0.53,0.4,16.9,3.6,1.05,110.4
"36","Jordan Nwora",13.1,0.51,0.38,17.3,2.8,0.58,108.1
"38","Kris Wilkes",14.1,0.51,0.34,17.1,2.6,0.8,108.1
"34","Jaylen Hoard",11.2,0.51,0.22,13.8,2.9,0.6,104.5
"42","Lamar Stevens",16.6,0.47,0.21,19.7,3.4,0.72,102.3
"52","Oshae Brissett",11.5,0.45,0.26,13,3.6,0.89,100.9
