"","Player","FGA","X2PFG.","X3PFG.","PTS","ASB","AST.TOV","ORtg"
"1","Cameron Johnson",11.6,0.55,0.46,16.9,3.8,1.44,129.7
"2","Rui Hachimura",12.5,0.63,0.5,20.1,3.4,0.89,127.9
"3","Chuma Okeke",8.8,0.58,0.39,11.7,4.8,1.12,121
"4","Ignas Brazdeikis",11,0.49,0.41,15.1,2.1,0.75,114.7
"5","Eric Paschall",11.9,0.53,0.35,16.5,3.5,0.96,113.9
"6","Robert Franks",15.1,0.58,0.4,21.6,4,0.81,113.1
"7","Tyler Bey",9.3,0.56,0.17,13.3,2.6,0.32,113
"8","Nassir Little",7.3,0.52,0.27,9.4,1.8,0.58,110
"9","Admiral Schofield",13.5,0.51,0.41,16.2,3.5,1.11,109.7
"10","Jordan Nwora",13.2,0.51,0.38,17.2,2.7,0.54,107.8
"11","Kris Wilkes",14.2,0.51,0.34,17.3,2.7,0.89,107.8
"12","Louis King",11,0.48,0.35,13.1,2.6,0.67,103.5
"13","Jaylen Hoard",10.7,0.5,0.24,13.1,2.7,0.6,102.3
"14","Lamar Stevens",17,0.46,0.21,19.9,3.6,0.75,101.7
"15","Oshae Brissett",11,0.44,0.25,12.4,3.6,0.95,100.4
