"","Player","FGA","X2PFG.","X3PFG.","PTS","STL","RSB","AST.TOV","ORtg"
"1","Terance Mann",7.8,0.55,0.45,11.5,0.6,7.3,1.26,122.7
"2","Keldon Johnson",9.6,0.53,0.38,13.7,0.8,6.6,1,121.3
"3","Tyler Herro",10.7,0.52,0.36,13.7,1,5.7,1.44,119.3
"4","Caleb Martin",14.3,0.56,0.34,19.3,1.3,7,1.59,115.9
"5","Nickeil Alexander-Walker",11.7,0.56,0.38,16.5,2,6.4,1.28,113.8
"6","Jarrett Culver",13.1,0.57,0.33,18,1.1,7.6,1.33,113.1
"7","Aaron Wiggins",7.6,0.34,0.43,8.6,0.8,4.3,0.89,112.8
"8","Tyus Battle",13.4,0.5,0.31,17.1,1.1,4.6,1.47,112.2
"9","Matisse Thybulle",7.4,0.58,0.33,9.9,3.5,9.1,1.11,111.5
"10","Romeo Langford",12.3,0.55,0.28,17,0.8,6.9,1.05,110.3
"11","Lagerald Vick",10.8,0.51,0.46,14.1,1.2,5.4,0.76,108.1
"12","James Palmer",15,0.39,0.32,18.9,1.3,6.2,1.45,107.8
"13","Alpha Diallo",12.8,0.44,0.35,16.5,1.6,10.2,1.11,106.3
"14","Talen Horton-Tucker",11.2,0.5,0.3,12.4,1.4,7.4,1.69,103.1
"15","Charles Matthews",10.8,0.49,0.33,12.8,1.1,6.6,0.82,101.4
"16","Luguentz Dort",13,0.47,0.29,16.4,1.5,6.4,0.81,101.3
"17","Quinton Rose",15.1,0.47,0.28,16.5,2.3,6.1,1,93.6
"18","Quentin Grimes",7.2,0.45,0.32,7.6,0.5,3,1,91.5
