"","Player","School","G.x","BPM","rawVORP","normVORP","Salary"
"1","Ameka Akaya","Air Force",29,-3.2,-0.3,0.32,93906.67
"2","Lavelle Scottie","Air Force",32,-3.3,-1.02,0.28,84036.8
"3","Christopher Joyce","Air Force",32,-1.5,0.27,0.34,101679.54
"4","Zach Couper","Air Force",9,-10.7,-0.12,0.32,96432.72
"5","Abe Kinrade","Air Force",19,-4.4,-0.12,0.32,96346.06
"6","Caleb Morris","Air Force",28,0,1.06,0.38,112587.22
"7","Pervis Louder","Air Force",31,-2.9,-0.3,0.32,93903.46
"8","Nick Rene","Air Force",4,-20.5,-0.14,0.32,96035.78
"9","Sid Tomes","Air Force",32,-2.9,-0.52,0.31,90860.65
"10","Isaac Monson","Air Force",9,-14.5,-0.19,0.32,95474.08
"11","LeSean Brown","Air Force",13,-4.6,-0.24,0.32,94760.46
"12","Ryan Swan-Ford","Air Force",31,4.8,4.52,0.54,159928.4
"13","Keaton Van Soelen","Air Force",32,-0.6,0.74,0.36,108125.72
"14","James Edwards","Air Force",7,-15.2,-0.12,0.32,96320.38
"15","A.J. Walker","Air Force",32,-2.4,-0.26,0.32,94415.95
"16","Bryce Hughes","Air Force",9,-0.6,0.02,0.33,98314.68
"17","Charles O'Briant","Air Force",2,-25.1,-0.22,0.32,95049.33
"18","LePear Toles","Akron",5,-1.1,0.02,0.33,98267.22
"19","Scott Walter","Akron",14,-8.4,-0.32,0.32,93699.18
"20","Emmanuel Olojakpoke","Akron",31,0.7,0.66,0.36,107006.98
"21","Mark Kostelac","Akron",7,3.4,0.16,0.34,100200.05
"22","Jeremy Roscoe","Akron",31,-0.4,0.42,0.35,103742.02
"23","Jaden Sayles","Akron",21,-4.7,-0.53,0.31,90703.96
"24","Loren Jackson","Akron",33,1.8,3,0.47,139095.33
"25","Daniel Utomi","Akron",33,2.1,3.44,0.49,145103.4
"26","Deng Riak","Akron",30,-0.7,0.71,0.36,107672.01
"27","Tyler Cheese","Akron",33,1.3,2.33,0.44,129923.97
"28","Marquelle McIntyre","Akron",8,0,0.02,0.33,98222.61
"29","Channel Banks","Akron",32,1.8,1.95,0.42,124744.85
"30","Jimond Ivey","Akron",33,6.4,6.85,0.65,191874.22
"31","Jake Fischer","Akron",6,-14.5,-0.05,0.33,97366.68
"32","Kira Lewis Jr.","Alabama",34,3.8,4.58,0.54,160799.68
"33","John Petty","Alabama",34,3.9,4.2,0.52,155584.58
"34","Galin Smith","Alabama",30,-2.4,-0.12,0.32,96387.85
"35","Riley Norris","Alabama",26,5.3,2.78,0.46,136092.67
"36","Dazon Ingram","Alabama",32,3.6,2.92,0.46,138052.23
"37","Alex Reese","Alabama",28,3.6,1.53,0.4,118992.31
"38","Britton Johnson","Alabama",5,11.2,0.03,0.33,98413.87
"39","Tyler Barnes","Alabama",4,-12.4,-0.03,0.33,97596.21
"40","Donta Hall","Alabama",34,7.5,6.37,0.62,185258.98
"41","Tevin Mack","Alabama",34,1.6,1.85,0.42,123354.5
"42","Daniel Giddens","Alabama",14,-2.4,-0.03,0.33,97551.9
"43","Lawson Schaffer","Alabama",9,-17.2,-0.17,0.32,95719.22
"44","Avery Johnson","Alabama",32,-2.1,-0.02,0.33,97702.95
"45","Herb Jones","Alabama",34,2.7,2.48,0.44,132043.64
"46","Gerron Scissum","Alabama A&M",31,-7.5,-2.94,0.19,57765.27
"47","Dennis Stallings Jr.","Alabama A&M",1,-10.1,-0.01,0.33,97841.79
"48","Brandon Wright","Alabama A&M",23,-6.8,-1.15,0.28,82248.98
"49","Brandon Powell","Alabama A&M",21,-6.5,-0.54,0.3,90552.52
"50","Evan Wiley","Alabama A&M",31,-6,-1.85,0.24,72636.95
"51","Brandon Houston","Alabama A&M",26,-10.2,-1.24,0.27,80995.05
"52","Arthur Johnson","Alabama A&M",17,-7.1,-1.46,0.26,77989.69
"53","Jalen Reeder","Alabama A&M",27,-6.7,-2.57,0.21,62764.93
"54","Shaquille Seville","Alabama A&M",19,-14.3,-1.12,0.28,82618.1
"55","Walter Jones Jr.","Alabama A&M",30,-6.6,-2.27,0.22,66861.6
"56","Andre Kennedy","Alabama A&M",32,-5.6,-2.53,0.21,63311.66
"57","Brandon Miller","Alabama A&M",32,-5.2,-2.77,0.2,60149.02
"58","Tre Todd","Alabama A&M",24,-5.7,-1.57,0.26,76480.05
"59","Amari Goulbourne","Alabama A&M",15,-6.1,-0.55,0.3,90470.14
"60","Ed Jones","Alabama State",27,-9.7,-1.64,0.25,75564.49
"61","Kevin Holston","Alabama State",29,-9.3,-3.23,0.18,53833.95
"62","Reginald Gee","Alabama State",30,-5.4,-2.47,0.22,64182.35
"63","Fausto Pichardo","Alabama State",30,-1.6,0.18,0.34,100466.92
"64","Therrell Gosier II","Alabama State",7,-5.9,-0.21,0.32,95086.19
"65","Leon Freeman-Daniels","Alabama State",30,-2,0,0.33,98015.11
"66","Tobi Ewuosho","Alabama State",29,-4.6,-1.39,0.27,79034.57
"67","Austin Rogers","Alabama State",22,-6.5,-1.01,0.28,84149.14
"68","AJ Farrar","Alabama State",21,0.9,0.77,0.37,108520.34
"69","Branden Johnson","Alabama State",31,-5.6,-1.52,0.26,77141.6
"70","Gene Davis","Alabama State",15,-9,-1.49,0.26,77605.46
"71","Jacoby Ross","Alabama State",31,-5.6,-2.85,0.2,59011.46
"72","Azariah Seay","Alabama State",19,-6.2,-0.43,0.31,92124.14
"73","Cameron Healy","Albany (NY)",32,-0.9,0.95,0.37,110996.27
"74","Philip Flory","Albany (NY)",6,-12.3,-0.37,0.31,92945.9
"75","Adam Lulka","Albany (NY)",32,-2,0,0.33,98015.11
"76","Brent Hank","Albany (NY)",31,-4.3,-0.79,0.29,87236.88
"77","Antonio Rizzuto","Albany (NY)",24,-3.6,-0.83,0.29,86614.2
"78","Reece Brooks","Albany (NY)",14,-17.3,-1.1,0.28,82955.12
"79","Ahmad Clark","Albany (NY)",32,0.4,1.84,0.41,123282
"80","Nick Fruscio","Albany (NY)",8,-17.3,-0.1,0.33,96705.55
"81","Malachi De Sousa","Albany (NY)",28,-3.6,-0.45,0.31,91920.93
"82","Sasha French","Albany (NY)",21,-9.3,-0.71,0.3,88252.22
"83","Devonte Campbell","Albany (NY)",32,-3.5,-1.05,0.28,83651.63
"84","Rayshawn Miller","Albany (NY)",30,-6.4,-1.56,0.26,76642.68
"85","Kendall Lauderdale","Albany (NY)",32,-7.6,-1.61,0.26,76026.41
"86","Kobe Wilson","Alcorn State",28,-4.9,-0.92,0.29,85364
"87","TyQuayion Smith","Alcorn State",16,-13.3,-0.9,0.29,85659.98
"88","Reginald Johnson","Alcorn State",30,-8.2,-3.17,0.18,54602.63
"89","Troymain Crosby","Alcorn State",28,-7.6,-3.46,0.17,50639.97
"90","Jonathan Floyd","Alcorn State",2,1.7,0.18,0.34,100507.78
"91","Jael Scott","Alcorn State",29,-6.9,-2.85,0.2,58942.99
"92","Noah Plain","Alcorn State",16,-13.9,-0.81,0.29,86975.34
"93","David Robinson","Alcorn State",5,-2.8,-0.02,0.33,97705.87
"94","DeShaw Andrews","Alcorn State",31,-5.2,-1.49,0.26,77658.47
"95","Harold Givens","Alcorn State",17,-6,-0.53,0.31,90814.3
"96","Khari Jabriel Allen","Alcorn State",28,-12.3,-5.27,0.09,25894.37
"97","Devon Brewer","Alcorn State",30,-6.5,-2.28,0.22,66754.54
"98","Maurice Howard","Alcorn State",31,-5.4,-3.1,0.19,55620.9
"99","Alonzo Campbell","Alcorn State",24,-9.9,-1.89,0.24,72102.14
"100","Laurynas Motuzis","American",30,-1.9,0.07,0.33,98942.93
"101","Sam Iorio","American",27,0.3,1.93,0.42,124420.95
"102","Yilret Yiljep","American",21,-8.1,-0.98,0.28,84649
"103","Christian Sutton","American",3,-49.7,-0.12,0.32,96382.01
"104","Jesse Little","American",8,-4.8,-0.04,0.33,97439.93
"105","Mark Gasperini","American",28,-3.7,-1.03,0.28,83871.82
"106","Josh Alexander","American",28,-5.9,-1.09,0.28,83149.42
"107","Justin Perez","American",4,-46.4,-0.11,0.32,96494.99
"108","Cheikh Diallo","American",16,-10.3,-0.84,0.29,86458.99
"109","Stacy Beckton","American",30,1.2,2.2,0.43,128180.17
"110","Matt Cimino","American",5,1.8,0.02,0.33,98275.31
"111","Marvin Bragg","American",22,-3.7,-0.65,0.3,89071.27
"112","Sa'eed Nelson","American",30,3.9,5.38,0.58,171744.44
"113","Jacob Boonyasith","American",30,-4.6,-1.07,0.28,83386.79
