"","Team.x","Season.x","AST","TO","ORR","DRR","REBR","EFF FG%","TS%","OFF EFF","DEF EFF","Off_Deff_Diff","countWinsPlayoffs","countLossesPlayoffs","descriptionNBAFinalsAppearance","OFFRTG","DEFRTG","NETRTG","pbp_o_rating","pbp_d_rating","pbp_NRtg","ORtg","DRtg","NRtg","ORtg/A","DRtg/A","NRtg/A","TeamNickname","PlayoffGames","PlayoffWinPercentage","Round"
"34","Boston Celtics","2018-19",19,11.5,21.6,77,49.3,53.4,56.7,110.1,104.9,5.19999999999999,5,1,NA,111.2,107,4.2,112.6,108,4.6,112.78,108.35,4.43,112.57,108.69,3.88,"Celtics",6,0.833333333333333,"Conf. Semis"
"51","Brooklyn Nets","2018-19",17,13,23.8,76.4,50.2,52,55.6,106.9,107,-0.0999999999999943,1,4,NA,108.8,108.9,-0.1,110.1,110.2,-0.1,110.3,110.36,-0.06,110.15,110.56,-0.41,"Nets",5,0.2,"First Round"
"134","Denver Nuggets","2018-19",19.5,11.9,26.6,78,52.2,52.7,55.8,109.8,106.8,3,5,3,NA,112.1,108,4,113.4,109.6,3.8,113.76,109.62,4.14,113.74,109.35,4.39,"Nuggets",8,0.625,"Conf. Semis"
"151","Detroit Pistons","2018-19",16.7,12.3,24.8,78.7,50.7,50.9,54.4,106.1,106.9,-0.800000000000011,0,4,NA,108.3,108.6,-0.4,109.8,109.9,-0.1,109.93,110.13,-0.2,109.86,110.38,-0.53,"Pistons",4,0,NA
"168","Golden State Warriors","2018-19",20.7,12.6,22.5,77.1,51,56.5,59.6,113.9,106.5,7.40000000000001,6,2,NA,114.9,108.5,6.4,116.3,109.7,6.6,116.63,110.24,6.39,116.6,110.24,6.37,"Warriors",8,0.75,"Conf. Semis"
"185","Houston Rockets","2018-19",16,12,22.8,74.4,48.1,54.2,58.1,112.5,107.9,4.59999999999999,4,3,NA,114.8,110.1,4.8,115.9,111.4,4.5,116.25,111.43,4.82,116.45,111.43,5.03,"Rockets",7,0.571428571428571,"Conf. Semis"
"202","Indiana Pacers","2018-19",19.1,12.4,21.9,76.2,49.6,53,56.1,107.3,104.2,3.09999999999999,0,4,NA,109.3,105.9,3.4,110.7,107.2,3.5,110.62,107.23,3.39,110.31,107.5,2.8,"Pacers",4,0,NA
"219","Los Angeles Clippers","2018-19",17.3,12.7,22,76,49.9,52.9,57.5,109.7,109,0.700000000000003,2,4,NA,111.3,110.3,1.1,112.7,111.9,0.8,113.14,112.33,0.81,113.29,112.22,1.06,"Clippers",6,0.333333333333333,"First Round"
"287","Milwaukee Bucks","2018-19",18.4,12,20.8,80.3,52.3,55,58.3,111.5,103,8.5,5,1,NA,113.5,104.9,8.6,114.6,106.2,8.4,114.23,105.76,8.47,113.89,106.23,7.66,"Bucks",6,0.833333333333333,"Conf. Semis"
"355","Oklahoma City Thunder","2018-19",16.4,11.7,26,78.2,51.3,51.4,54.5,107.6,104.7,2.89999999999999,1,4,NA,109.8,106.4,3.4,110.9,107.7,3.1,110.85,107.53,3.31,110.71,107.22,3.49,"Thunder",5,0.2,"First Round"
"372","Orlando Magic","2018-19",18.7,11.9,22,79.7,50.4,51.8,55,106.5,105.8,0.700000000000003,1,4,NA,108.1,107.5,0.6,109.3,108.7,0.6,109.46,108.82,0.65,109.26,109.05,0.21,"Magic",5,0.2,"First Round"
"389","Philadelphia 76ers","2018-19",18.9,12.9,24.5,78.6,52.3,53.2,57.4,110.4,107.1,3.30000000000001,5,2,NA,111.5,108.9,2.6,113,110.1,2.9,113.21,110.58,2.64,113.16,110.97,2.19,"76ers",7,0.714285714285714,"Conf. Semis"
"423","Portland Trail Blazers","2018-19",16.7,12.1,26.6,77.9,52.8,52.8,56.9,111.4,108.1,3.30000000000001,4,2,NA,113.6,109.5,4.1,114.7,110.9,3.8,115.45,111.07,4.38,115.63,111.01,4.62,"Blazers",6,0.666666666666667,"Conf. Semis"
"457","San Antonio Spurs","2018-19",18.3,11,21,79.4,50.5,53.4,57.2,111.1,108.3,2.8,3,4,NA,112.2,110.5,1.6,113.5,111.4,2.1,113.3,111.55,1.75,113.3,111.42,1.88,"Spurs",7,0.428571428571429,"First Round"
"474","Toronto Raptors","2018-19",18.4,12.4,21.9,77.1,50.2,54.3,57.9,110.9,104.3,6.60000000000001,5,2,NA,112.5,106.8,5.8,113.7,108,5.7,113.99,108,5.99,113.78,108.4,5.38,"Raptors",7,0.714285714285714,"Conf. Semis"
"491","Utah Jazz","2018-19",18.8,13.4,22.9,80.3,52.1,53.8,57.2,108.8,103.2,5.59999999999999,1,4,NA,110.2,105.2,5,111.6,106.3,5.3,111.35,106.11,5.24,111.23,105.94,5.28,"Jazz",5,0.2,"First Round"
