"","Team","OFF EFF","DEF EFF","Off_Deff_Diff"
"287","Milwaukee Bucks",111.5,103,8.5
"168","Golden State Warriors",113.9,106.5,7.4
"472","Toronto Raptors",110.9,104.3,6.6
"489","Utah Jazz",108.8,103.2,5.6
"34","Boston Celtics",110.1,104.9,5.2
"185","Houston Rockets",112.5,107.9,4.6
"387","Philadelphia 76ers",110.4,107.1,3.3
"421","Portland Trail Blazers",111.4,108.1,3.3
"202","Indiana Pacers",107.3,104.2,3.1
"134","Denver Nuggets",109.8,106.8,3
"353","Oklahoma City Thunder",107.6,104.7,2.9
"455","San Antonio Spurs",111.1,108.3,2.8
"219","Los Angeles Clippers",109.7,109,0.7
"370","Orlando Magic",106.5,105.8,0.7
"51","Brooklyn Nets",106.9,107,-0.1
"151","Detroit Pistons",106.1,106.9,-0.8
