Location	White	Black	Other
United States	734.5	854.1	424.8
Alabama	907.3	972	353.3
Alaska	643.6	701.9	914.1
Arizona	672.9	741.2	648.3
Arkansas	887	1030	438
California	653.9	815.8	397.4
Colorado	669.6	751.8	424.1
Connecticut	662.9	651.9	259.4
Delaware	742.5	855.4	324.2
District of Columbia	396.5	995.7	328.9
Florida	669.2	745.9	348.1
Georgia	785.9	856.7	348.7
Hawaii	648.1	514.8	564.5
Idaho	747.2	558.3	539.6
Illinois	709.9	939.7	322.7
Indiana	842.1	999.4	340.5
Iowa	733.7	961.3	507.6
Kansas	762.8	970.6	607.4
Kentucky	936.1	924.7	362.5
Louisiana	845.5	988	374.4
Maine	774.2	537.6	576.6
Maryland	711.2	811.2	324.6
Massachusetts	700.4	599.8	321
Michigan	764.9	965.2	436
Minnesota	648.3	717.2	644.3
Mississippi	915.2	1031	574.2
Missouri	804.5	1010.6	338.4
Montana	727.7	617.7	1186.4
Nebraska	722.4	904.1	478.6
Nevada	787	911.9	479
New Hampshire	726.4	550.6	286.1
New Jersey	681.7	783.9	301.7
New Mexico	746.7	760.5	771.3
New York	651.7	617.3	327.4
North Carolina	769.6	879.6	507.1
North Dakota	667.8	498.8	1114.8
Ohio	841.9	969.4	356.2
Oklahoma	887	999.6	925.7
Oregon	726.1	751.8	513
Pennsylvania	772.9	917.5	363.4
Rhode Island	733.5	476.1	376
South Carolina	796.9	952.4	368.1
South Dakota	684.5	388.5	1339.1
Tennessee	891.9	973.7	332.4
Texas	738.3	881.5	339.4
Utah	704.4	758.6	546.1
Vermont	718.2	588.3	354.6
Virginia	714	853.8	352.7
Washington	703.9	775.2	489.4
West Virginia	961	1010.5	298.1
Wisconsin	706.4	1004.6	595.6
Wyoming	710.9	497.6	764.3
